,flat,human,vehicle,construction,object,nature,sky,void
flat,9274045,23863,49329,40974,48,19535,303,127543
human,16945,184503,42673,70804,2048,10671,841,3012
vehicle,59767,39249,1529467,111346,704,30095,1020,3376
construction,51433,38676,71697,4678842,8297,228153,26335,36136
object,27574,42656,25365,267234,9892,107750,15932,17357
nature,53570,8514,38502,276220,4121,3558800,18685,15548
sky,1,58,112,27493,3451,15296,685689,4681
void,459976,35422,54508,302295,4044,71585,24748,2129191
