Classe,Précision,Rappel,F1-Score,Support
flat,0.9287731660619409,0.9528877977776007,0.9406759600707351,9535640
human,0.0,0.0,0.0,331497
vehicle,0.8072194620025336,0.8432809922570061,0.8248562757191724,1775024
construction,0.7424969301077702,0.9354198766472441,0.8278674889913963,5139569
object,0.15246636771300448,0.0003308938025537216,0.0006603544549647973,513760
nature,0.9054657351944694,0.8399666831070267,0.8714872512777964,3973960
sky,0.8877656729075608,0.9235145857452893,0.9052873443935097,736781
void,0.84942536211824,0.694975191197004,0.7644772622989469,3081769
