Classe,Précision,Rappel,F1-Score,Support
flat,0.9326918367533712,0.972566602766044,0.9522119543295735,9535640
human,0.494724366588817,0.5565751726259967,0.5238303441892687,331497
vehicle,0.8442383833990283,0.86165989868306,0.852860182280144,1775024
construction,0.8101599111235475,0.9103568801197143,0.8573408325245674,5139569
object,0.303389050759086,0.019254126440361258,0.03621022576482754,513760
nature,0.880480270962682,0.8955298996467,0.8879413212206574,3973960
sky,0.8864150226293479,0.9306551064699008,0.9079965093813687,736781
void,0.9111395540309922,0.6908989609539197,0.785880445789356,3081769
